dex,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,height_m,weight_kgs,bmi,is_legendary,is_special,category,generation,is_dual_type
313,Volbeat,Bug,NA,430,65,73,75,47,85,85,0.7,17.7,36.1,FALSE,FALSE,Regular,Gen 3,FALSE
314,Illumise,Bug,NA,430,65,47,75,73,85,85,0.6,17.7,49.2,FALSE,FALSE,Regular,Gen 3,FALSE
317,Swalot,Poison,NA,467,100,73,83,73,83,55,1.7,80,27.7,FALSE,FALSE,Regular,Gen 3,FALSE
319,Mega Sharpedo,Water,Dark,560,70,140,70,110,65,105,2.5,130.3,20.8,FALSE,FALSE,Regular,Gen 3,TRUE
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,1.8,88.8,27.4,FALSE,FALSE,Regular,Gen 3,TRUE
321,Wailord,Water,NA,500,170,90,45,90,45,60,14.5,398,1.9,FALSE,FALSE,Regular,Gen 3,FALSE
323,Mega Camerupt,Fire,Ground,560,70,120,100,145,105,20,2.5,320.5,51.3,FALSE,FALSE,Regular,Gen 3,TRUE
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,1.9,220,60.9,FALSE,FALSE,Regular,Gen 3,TRUE
324,Torkoal,Fire,NA,470,70,85,140,85,70,20,0.5,80.4,321.6,FALSE,FALSE,Regular,Gen 3,FALSE
326,Grumpig,Psychic,NA,470,80,45,65,90,110,80,0.9,71.5,88.3,FALSE,FALSE,Regular,Gen 3,FALSE
327,Spinda,Normal,NA,360,60,60,60,60,60,60,1.1,5,4.1,FALSE,FALSE,Regular,Gen 3,FALSE
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,2,82,20.5,FALSE,FALSE,Regular,Gen 3,TRUE
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,1.3,77.4,45.8,FALSE,FALSE,Regular,Gen 3,TRUE
334,Mega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,1.5,20.6,9.2,FALSE,FALSE,Regular,Gen 3,TRUE
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,1.1,20.6,17,FALSE,FALSE,Regular,Gen 3,TRUE
335,Zangoose,Normal,NA,458,73,115,60,60,60,90,1.3,40.3,23.8,FALSE,FALSE,Regular,Gen 3,FALSE
336,Seviper,Poison,NA,458,73,100,60,100,60,65,2.7,52.5,7.2,FALSE,FALSE,Regular,Gen 3,FALSE
337,Lunatone,Rock,Psychic,460,90,55,65,95,85,70,1,168,168,FALSE,FALSE,Regular,Gen 3,TRUE
338,Solrock,Rock,Psychic,460,90,95,85,55,65,70,1.2,154,106.9,FALSE,FALSE,Regular,Gen 3,TRUE
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,0.9,23.6,29.1,FALSE,FALSE,Regular,Gen 3,TRUE
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,1.1,32.8,27.1,FALSE,FALSE,Regular,Gen 3,TRUE
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,1.5,108,48,FALSE,FALSE,Regular,Gen 3,TRUE
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,1.5,60.4,26.8,FALSE,FALSE,Regular,Gen 3,TRUE
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,1.5,68.2,30.3,FALSE,FALSE,Regular,Gen 3,TRUE
350,Milotic,Water,NA,540,95,60,79,100,125,81,6.2,162,4.2,FALSE,FALSE,Regular,Gen 3,FALSE
351,Castform,Normal,NA,420,70,70,70,70,70,70,0.3,0.8,8.9,FALSE,FALSE,Regular,Gen 3,FALSE
351,Castform Sunny Form,Fire,NA,420,70,70,70,70,70,70,0.3,0.8,8.9,FALSE,FALSE,Regular,Gen 3,FALSE
351,Castform Rainy Form,Water,NA,420,70,70,70,70,70,70,0.3,0.8,8.9,FALSE,FALSE,Regular,Gen 3,FALSE
351,Castform Snowy Form,Ice,NA,420,70,70,70,70,70,70,0.3,0.8,8.9,FALSE,FALSE,Regular,Gen 3,FALSE
352,Kecleon,Normal,NA,440,60,90,70,60,120,40,1,22,22,FALSE,FALSE,Regular,Gen 3,FALSE
354,Mega Banette,Ghost,NA,555,64,165,75,93,83,75,1.2,13,9,FALSE,FALSE,Regular,Gen 3,FALSE
354,Banette,Ghost,NA,455,64,115,65,83,63,65,1.1,12.5,10.3,FALSE,FALSE,Regular,Gen 3,FALSE
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,2,100,25,FALSE,FALSE,Regular,Gen 3,TRUE
358,Chimecho,Psychic,NA,455,75,50,80,95,90,65,0.6,1,2.8,FALSE,FALSE,Regular,Gen 3,FALSE
359,Absol,Dark,NA,465,65,130,60,75,60,75,1.2,47,32.6,FALSE,FALSE,Regular,Gen 3,FALSE
359,Mega Absol,Dark,NA,565,65,150,60,115,60,115,1.2,49,34,FALSE,FALSE,Regular,Gen 3,FALSE
362,Mega Glalie,Ice,NA,580,80,120,80,120,80,100,2.1,350.2,79.4,FALSE,FALSE,Regular,Gen 3,FALSE
362,Glalie,Ice,NA,480,80,80,80,80,80,80,1.5,256.5,114,FALSE,FALSE,Regular,Gen 3,FALSE
365,Walrein,Ice,Water,530,110,80,90,95,90,65,1.4,150.6,76.8,FALSE,FALSE,Regular,Gen 3,TRUE
367,Huntail,Water,NA,485,55,104,105,94,75,52,1.7,27,9.3,FALSE,FALSE,Regular,Gen 3,FALSE
368,Gorebyss,Water,NA,485,55,84,105,114,75,52,1.8,22.6,7,FALSE,FALSE,Regular,Gen 3,FALSE
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,1,23.4,23.4,FALSE,FALSE,Regular,Gen 3,TRUE
370,Luvdisc,Water,NA,330,43,30,55,40,65,97,0.6,8.7,24.2,FALSE,FALSE,Regular,Gen 3,FALSE
373,Mega Salamence,Dragon,Flying,700,95,145,130,120,90,120,1.8,112.6,34.8,FALSE,FALSE,Regular,Gen 3,TRUE
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,1.5,102.6,45.6,FALSE,FALSE,Regular,Gen 3,TRUE
376,Mega Metagross,Steel,Psychic,700,80,145,150,105,110,110,2.5,942.9,150.9,FALSE,FALSE,Regular,Gen 3,TRUE
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,1.6,550,214.8,FALSE,FALSE,Regular,Gen 3,TRUE
377,Regirock,Rock,NA,580,80,100,200,50,100,50,1.7,230,79.6,TRUE,TRUE,Legendary,Gen 3,FALSE
378,Regice,Ice,NA,580,80,50,100,100,200,50,1.8,175,54,TRUE,TRUE,Legendary,Gen 3,FALSE
379,Registeel,Steel,NA,580,80,75,150,75,150,50,1.9,205,56.8,TRUE,TRUE,Legendary,Gen 3,FALSE
380,Mega Latias,Dragon,Psychic,700,80,100,120,140,150,110,1.8,52,16,TRUE,TRUE,Legendary,Gen 3,TRUE
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,1.4,40,20.4,TRUE,TRUE,Legendary,Gen 3,TRUE
381,Mega Latios,Dragon,Psychic,700,80,130,100,160,120,110,2.3,70,13.2,TRUE,TRUE,Legendary,Gen 3,TRUE
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,2,60,15,TRUE,TRUE,Legendary,Gen 3,TRUE
382,Primal Kyogre,Water,NA,770,100,150,90,180,160,90,9.8,430,4.5,TRUE,TRUE,Legendary,Gen 3,FALSE
382,Kyogre,Water,NA,670,100,100,90,150,140,90,4.5,352,17.4,TRUE,TRUE,Legendary,Gen 3,FALSE
383,Primal Groudon,Ground,Fire,770,100,180,160,150,90,90,5,999.7,40,TRUE,TRUE,Legendary,Gen 3,TRUE
383,Groudon,Ground,NA,670,100,150,140,100,90,90,3.5,950,77.6,TRUE,TRUE,Legendary,Gen 3,FALSE
384,Mega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,10.8,392,3.4,TRUE,TRUE,Legendary,Gen 3,TRUE
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,7,206.5,4.2,TRUE,TRUE,Legendary,Gen 3,TRUE
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,0.3,1.1,12.2,FALSE,TRUE,Mythical,Gen 3,TRUE
386,Deoxys Normal Forme,Psychic,NA,600,50,150,50,150,50,150,1.7,60.8,21,FALSE,TRUE,Mythical,Gen 3,FALSE
386,Deoxys Attack Forme,Psychic,NA,600,50,180,20,180,20,150,1.7,60.8,21,FALSE,TRUE,Mythical,Gen 3,FALSE
386,Deoxys Defense Forme,Psychic,NA,600,50,70,160,70,160,90,1.7,60.8,21,FALSE,TRUE,Mythical,Gen 3,FALSE
386,Deoxys Speed Forme,Psychic,NA,600,50,95,90,95,90,180,1.7,60.8,21,FALSE,TRUE,Mythical,Gen 3,FALSE
389,Torterra,Grass,Ground,525,95,109,105,75,85,56,2.2,310,64,FALSE,FALSE,Regular,Gen 4,TRUE
392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,1.2,55,38.2,FALSE,FALSE,Regular,Gen 4,TRUE
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,1.7,84.5,29.2,FALSE,FALSE,Regular,Gen 4,TRUE
398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,1.2,24.9,17.3,FALSE,FALSE,Regular,Gen 4,TRUE
400,Bibarel,Normal,Water,410,79,85,60,55,60,71,1,31.5,31.5,FALSE,FALSE,Regular,Gen 4,TRUE
402,Kricketune,Bug,NA,384,77,85,51,55,51,65,1,25.5,25.5,FALSE,FALSE,Regular,Gen 4,FALSE
405,Luxray,Electric,NA,523,80,120,79,95,79,70,1.4,42,21.4,FALSE,FALSE,Regular,Gen 4,FALSE
407,Roserade,Grass,Poison,515,60,70,65,125,105,90,0.9,14.5,17.9,FALSE,FALSE,Regular,Gen 4,TRUE
409,Rampardos,Rock,NA,495,97,165,60,65,50,58,1.6,102.5,40,FALSE,FALSE,Regular,Gen 4,FALSE
411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,1.3,149.5,88.5,FALSE,FALSE,Regular,Gen 4,TRUE
413,Wormadam Plant Cloak,Bug,Grass,424,60,59,85,79,105,36,0.5,6.5,26,FALSE,FALSE,Regular,Gen 4,TRUE
413,Wormadam Sandy Cloak,Bug,Ground,424,60,79,105,59,85,36,0.5,6.5,26,FALSE,FALSE,Regular,Gen 4,TRUE
413,Wormadam Trash Cloak,Bug,Steel,424,60,69,95,69,95,36,0.5,6.5,26,FALSE,FALSE,Regular,Gen 4,TRUE
414,Mothim,Bug,Flying,424,70,94,50,94,50,66,0.9,23.3,28.8,FALSE,FALSE,Regular,Gen 4,TRUE
416,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,1.2,38.5,26.7,FALSE,FALSE,Regular,Gen 4,TRUE
417,Pachirisu,Electric,NA,405,60,45,70,45,90,95,0.4,3.9,24.4,FALSE,FALSE,Regular,Gen 4,FALSE
419,Floatzel,Water,NA,495,85,105,55,85,50,115,1.1,33.5,27.7,FALSE,FALSE,Regular,Gen 4,FALSE
421,Cherrim,Grass,NA,450,70,60,70,87,78,85,0.5,9.3,37.2,FALSE,FALSE,Regular,Gen 4,FALSE
423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,0.9,29.9,36.9,FALSE,FALSE,Regular,Gen 4,TRUE
424,Ambipom,Normal,NA,482,75,100,66,60,66,115,1.2,20.3,14.1,FALSE,FALSE,Regular,Gen 4,FALSE
426,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,1.2,15,10.4,FALSE,FALSE,Regular,Gen 4,TRUE
428,Mega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,1.3,28.3,16.7,FALSE,FALSE,Regular,Gen 4,TRUE
428,Lopunny,Normal,NA,480,65,76,84,54,96,105,1.2,33.3,23.1,FALSE,FALSE,Regular,Gen 4,FALSE
429,Mismagius,Ghost,NA,495,60,60,60,105,105,105,0.9,4.4,5.4,FALSE,FALSE,Regular,Gen 4,FALSE
430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,0.9,27.3,33.7,FALSE,FALSE,Regular,Gen 4,TRUE
432,Purugly,Normal,NA,452,71,82,64,64,59,112,1,43.8,43.8,FALSE,FALSE,Regular,Gen 4,FALSE
435,Skuntank,Poison,Dark,479,103,93,67,71,61,84,1,38,38,FALSE,FALSE,Regular,Gen 4,TRUE
437,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,1.3,187,110.7,FALSE,FALSE,Regular,Gen 4,TRUE
441,Chatot,Normal,Flying,411,76,65,45,92,42,91,0.5,1.9,7.6,FALSE,FALSE,Regular,Gen 4,TRUE
442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,1,108,108,FALSE,FALSE,Regular,Gen 4,TRUE
445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,1.9,95,26.3,FALSE,FALSE,Regular,Gen 4,TRUE
445,Mega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,1.9,95,26.3,FALSE,FALSE,Regular,Gen 4,TRUE
448,Mega Lucario,Fighting,Steel,625,70,145,88,140,70,112,1.3,57.5,34,FALSE,FALSE,Regular,Gen 4,TRUE
448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,1.2,54,37.5,FALSE,FALSE,Regular,Gen 4,TRUE
450,Hippowdon,Ground,NA,525,108,112,118,68,72,47,2,300,75,FALSE,FALSE,Regular,Gen 4,FALSE
452,Drapion,Poison,Dark,500,70,90,110,60,75,95,1.3,61.5,36.4,FALSE,FALSE,Regular,Gen 4,TRUE
454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,1.3,44.4,26.3,FALSE,FALSE,Regular,Gen 4,TRUE
455,Carnivine,Grass,NA,454,74,100,72,90,72,46,1.4,27,13.8,FALSE,FALSE,Regular,Gen 4,FALSE
457,Lumineon,Water,NA,460,69,69,76,69,86,91,1.2,24,16.7,FALSE,FALSE,Regular,Gen 4,FALSE
460,Mega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,2.7,185,25.4,FALSE,FALSE,Regular,Gen 4,TRUE
460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,2.2,135.5,28,FALSE,FALSE,Regular,Gen 4,TRUE
461,Weavile,Dark,Ice,510,70,120,65,45,85,125,1.1,34,28.1,FALSE,FALSE,Regular,Gen 4,TRUE
462,Magnezone,Electric,Steel,535,70,70,115,130,90,60,1.2,180,125,FALSE,FALSE,Regular,Gen 4,TRUE
463,Lickilicky,Normal,NA,515,110,85,95,80,95,50,1.7,140,48.4,FALSE,FALSE,Regular,Gen 4,FALSE
464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,2.4,282.8,49.1,FALSE,FALSE,Regular,Gen 4,TRUE
465,Tangrowth,Grass,NA,535,100,100,125,110,50,50,2,128.6,32.2,FALSE,FALSE,Regular,Gen 4,FALSE
466,Electivire,Electric,NA,540,75,123,67,95,85,95,1.8,138.6,42.8,FALSE,FALSE,Regular,Gen 4,FALSE
467,Magmortar,Fire,NA,540,75,95,67,125,95,83,1.6,68,26.6,FALSE,FALSE,Regular,Gen 4,FALSE
468,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,1.5,38,16.9,FALSE,FALSE,Regular,Gen 4,TRUE
469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,1.9,51.5,14.3,FALSE,FALSE,Regular,Gen 4,TRUE
470,Leafeon,Grass,NA,525,65,110,130,60,65,95,1,25.5,25.5,FALSE,FALSE,Regular,Gen 4,FALSE
471,Glaceon,Ice,NA,525,65,60,110,130,95,65,0.8,25.9,40.5,FALSE,FALSE,Regular,Gen 4,FALSE
472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,2,42.5,10.6,FALSE,FALSE,Regular,Gen 4,TRUE
473,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,2.5,291,46.6,FALSE,FALSE,Regular,Gen 4,TRUE
474,Porygon-Z,Normal,NA,535,85,80,70,135,75,90,0.9,34,42,FALSE,FALSE,Regular,Gen 4,FALSE
475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,1.6,52,20.3,FALSE,FALSE,Regular,Gen 4,TRUE
475,Mega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,1.6,56.4,22,FALSE,FALSE,Regular,Gen 4,TRUE
476,Probopass,Rock,Steel,525,60,55,145,75,150,40,1.4,340,173.5,FALSE,FALSE,Regular,Gen 4,TRUE
477,Dusknoir,Ghost,NA,525,45,100,135,65,135,45,2.2,106.6,22,FALSE,FALSE,Regular,Gen 4,FALSE
478,Froslass,Ice,Ghost,480,70,80,70,80,70,110,1.3,26.6,15.7,FALSE,FALSE,Regular,Gen 4,TRUE
479,Rotom,Electric,Ghost,440,50,50,77,95,77,91,0.3,0.3,3.3,FALSE,FALSE,Regular,Gen 4,TRUE
479,Heat Rotom,Electric,Fire,520,50,65,107,105,107,86,0.3,0.3,3.3,FALSE,FALSE,Regular,Gen 4,TRUE
479,Wash Rotom,Electric,Water,520,50,65,107,105,107,86,0.3,0.3,3.3,FALSE,FALSE,Regular,Gen 4,TRUE
479,Frost Rotom,Electric,Ice,520,50,65,107,105,107,86,0.3,0.3,3.3,FALSE,FALSE,Regular,Gen 4,TRUE
479,Fan Rotom,Electric,Flying,520,50,65,107,105,107,86,0.3,0.3,3.3,FALSE,FALSE,Regular,Gen 4,TRUE
479,Mow Rotom,Electric,Grass,520,50,65,107,105,107,86,0.3,0.3,3.3,FALSE,FALSE,Regular,Gen 4,TRUE
480,Uxie,Psychic,NA,580,75,75,130,75,130,95,0.3,0.3,3.3,TRUE,TRUE,Legendary,Gen 4,FALSE
481,Mesprit,Psychic,NA,580,80,105,105,105,105,80,0.3,0.3,3.3,TRUE,TRUE,Legendary,Gen 4,FALSE
482,Azelf,Psychic,NA,580,75,125,70,125,70,115,0.3,0.3,3.3,TRUE,TRUE,Legendary,Gen 4,FALSE
483,Dialga Origin Forme,Steel,Dragon,680,100,100,120,150,120,90,7,850,17.3,TRUE,TRUE,Legendary,Gen 4,TRUE
483,Dialga,Steel,Dragon,680,100,120,120,150,100,90,5.4,683,23.4,TRUE,TRUE,Legendary,Gen 4,TRUE
484,Palkia Origin Forme,Water,Dragon,680,90,100,100,150,120,120,6.3,660,16.6,TRUE,TRUE,Legendary,Gen 4,TRUE
484,Palkia,Water,Dragon,680,90,120,100,150,120,100,4.2,336,19,TRUE,TRUE,Legendary,Gen 4,TRUE
485,Heatran,Fire,Steel,600,91,90,106,130,106,77,1.7,430,148.8,TRUE,TRUE,Legendary,Gen 4,TRUE
486,Regigigas,Normal,NA,670,110,160,110,80,110,100,3.7,420,30.7,TRUE,TRUE,Legendary,Gen 4,FALSE
487,Giratina Origin Forme,Ghost,Dragon,680,150,120,100,120,100,90,6.9,650,13.7,TRUE,TRUE,Legendary,Gen 4,TRUE
487,Giratina Altered Forme,Ghost,Dragon,680,150,100,120,100,120,90,4.5,750,37,TRUE,TRUE,Legendary,Gen 4,TRUE
488,Cresselia,Psychic,NA,580,120,70,110,75,120,85,1.5,85.6,38,TRUE,TRUE,Legendary,Gen 4,FALSE
489,Phione,Water,NA,480,80,80,80,80,80,80,0.4,3.1,19.4,FALSE,TRUE,Mythical,Gen 4,FALSE
490,Manaphy,Water,NA,600,100,100,100,100,100,100,0.3,1.4,15.6,FALSE,TRUE,Mythical,Gen 4,FALSE
491,Darkrai,Dark,NA,600,70,90,90,135,90,125,1.5,50.5,22.4,FALSE,TRUE,Mythical,Gen 4,FALSE
492,Shaymin Sky Forme,Grass,Flying,600,100,103,75,120,75,127,0.4,5.2,32.5,FALSE,TRUE,Mythical,Gen 4,TRUE
492,Shaymin Land Forme,Grass,NA,600,100,100,100,100,100,100,0.2,2.1,52.5,FALSE,TRUE,Mythical,Gen 4,FALSE
493,Arceus,Normal,NA,720,120,120,120,120,120,120,3.2,320,31.3,FALSE,TRUE,Mythical,Gen 4,FALSE
494,Victini,Psychic,Fire,600,100,100,100,100,100,100,0.4,4,25,FALSE,TRUE,Mythical,Gen 5,TRUE
497,Serperior,Grass,NA,528,75,75,95,75,95,113,3.3,63,5.8,FALSE,FALSE,Regular,Gen 5,FALSE
500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,1.6,150,58.6,FALSE,FALSE,Regular,Gen 5,TRUE
503,Hisuian Samurott,Water,Dark,528,90,108,80,100,65,85,1.5,58.2,25.9,FALSE,FALSE,Regular,Gen 5,TRUE
503,Samurott,Water,NA,528,95,100,85,108,70,70,1.5,94.6,42,FALSE,FALSE,Regular,Gen 5,FALSE
505,Watchog,Normal,NA,420,60,85,69,60,69,77,1.1,27,22.3,FALSE,FALSE,Regular,Gen 5,FALSE
508,Stoutland,Normal,NA,500,85,110,90,45,90,80,1.2,61,42.4,FALSE,FALSE,Regular,Gen 5,FALSE
510,Liepard,Dark,NA,446,64,88,50,88,50,106,1.1,37.5,31,FALSE,FALSE,Regular,Gen 5,FALSE
512,Simisage,Grass,NA,498,75,98,63,98,63,101,1.1,30.5,25.2,FALSE,FALSE,Regular,Gen 5,FALSE
514,Simisear,Fire,NA,498,75,98,63,98,63,101,1,28,28,FALSE,FALSE,Regular,Gen 5,FALSE
516,Simipour,Water,NA,498,75,98,63,98,63,101,1,29,29,FALSE,FALSE,Regular,Gen 5,FALSE
518,Musharna,Psychic,NA,487,116,55,85,107,95,29,1.1,60.5,50,FALSE,FALSE,Regular,Gen 5,FALSE
521,Unfezant,Normal,Flying,488,80,115,80,65,55,93,1.2,29,20.1,FALSE,FALSE,Regular,Gen 5,TRUE
523,Zebstrika,Electric,NA,497,75,100,63,80,63,116,1.6,79.5,31.1,FALSE,FALSE,Regular,Gen 5,FALSE
526,Gigalith,Rock,NA,515,85,135,130,60,80,25,1.7,260,90,FALSE,FALSE,Regular,Gen 5,FALSE
528,Swoobat,Psychic,Flying,425,67,57,55,77,55,114,0.9,10.5,13,FALSE,FALSE,Regular,Gen 5,TRUE
530,Excadrill,Ground,Steel,508,110,135,60,50,65,88,0.7,40.4,82.4,FALSE,FALSE,Regular,Gen 5,TRUE
531,Mega Audino,Normal,Fairy,545,103,60,126,80,126,50,1.5,32,14.2,FALSE,FALSE,Regular,Gen 5,TRUE
531,Audino,Normal,NA,445,103,60,86,60,86,50,1.1,31,25.6,FALSE,FALSE,Regular,Gen 5,FALSE
534,Conkeldurr,Fighting,NA,505,105,140,95,55,65,45,1.4,87,44.4,FALSE,FALSE,Regular,Gen 5,FALSE
537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,1.5,62,27.6,FALSE,FALSE,Regular,Gen 5,TRUE
538,Throh,Fighting,NA,465,120,100,85,30,85,45,1.3,55.5,32.8,FALSE,FALSE,Regular,Gen 5,FALSE
539,Sawk,Fighting,NA,465,75,125,75,30,75,85,1.4,51,26,FALSE,FALSE,Regular,Gen 5,FALSE
542,Leavanny,Bug,Grass,500,75,103,80,70,80,92,1.2,20.5,14.2,FALSE,FALSE,Regular,Gen 5,TRUE
545,Scolipede,Bug,Poison,485,60,100,89,55,69,112,2.5,200.5,32.1,FALSE,FALSE,Regular,Gen 5,TRUE
547,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,0.7,6.6,13.5,FALSE,FALSE,Regular,Gen 5,TRUE
549,Hisuian Lilligant,Grass,Fighting,480,70,105,75,50,75,105,1.2,19.2,13.3,FALSE,FALSE,Regular,Gen 5,TRUE
549,Lilligant,Grass,NA,480,70,60,75,110,75,90,1.1,16.3,13.5,FALSE,FALSE,Regular,Gen 5,FALSE
550,Basculin Red-Striped Form,Water,NA,460,70,92,65,80,55,98,1,18,18,FALSE,FALSE,Regular,Gen 5,FALSE
550,Basculin Blue-Striped Form,Water,NA,460,70,92,65,80,55,98,1,18,18,FALSE,FALSE,Regular,Gen 5,FALSE
550,Basculin White-Striped Form,Water,NA,460,70,92,65,80,55,98,1,18,18,FALSE,FALSE,Regular,Gen 5,FALSE
553,Krookodile,Ground,Dark,519,95,117,80,65,70,92,1.5,96.3,42.8,FALSE,FALSE,Regular,Gen 5,TRUE
555,Galarian Darmanitan Standard Mode,Ice,NA,480,105,140,55,30,55,95,1.7,120,41.5,FALSE,FALSE,Regular,Gen 5,FALSE
555,Galarian Darmanitan Zen Mode,Ice,Fire,540,105,160,55,30,55,135,1.7,120,41.5,FALSE,FALSE,Regular,Gen 5,TRUE
555,Darmanitan Standard Mode,Fire,NA,480,105,140,55,30,55,95,1.3,92.9,55,FALSE,FALSE,Regular,Gen 5,FALSE
555,Darmanitan Zen Mode,Fire,Psychic,540,105,30,105,140,105,55,1.3,92.9,55,FALSE,FALSE,Regular,Gen 5,TRUE
556,Maractus,Grass,NA,461,75,86,67,106,67,60,1,28,28,FALSE,FALSE,Regular,Gen 5,FALSE
558,Crustle,Bug,Rock,485,70,105,125,65,75,45,1.4,200,102,FALSE,FALSE,Regular,Gen 5,TRUE
560,Scrafty,Dark,Fighting,488,65,90,115,45,115,58,1.1,30,24.8,FALSE,FALSE,Regular,Gen 5,TRUE
561,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,1.4,14,7.1,FALSE,FALSE,Regular,Gen 5,TRUE
563,Cofagrigus,Ghost,NA,483,58,50,145,95,105,30,1.7,76.5,26.5,FALSE,FALSE,Regular,Gen 5,FALSE
565,Carracosta,Water,Rock,495,74,108,133,83,65,32,1.2,81,56.3,FALSE,FALSE,Regular,Gen 5,TRUE
567,Archeops,Rock,Flying,567,75,140,65,112,65,110,1.4,32,16.3,FALSE,FALSE,Regular,Gen 5,TRUE
569,Garbodor,Poison,NA,474,80,95,82,60,82,75,1.9,107.3,29.7,FALSE,FALSE,Regular,Gen 5,FALSE
571,Hisuian Zoroark,Normal,Ghost,510,55,100,60,125,60,110,1.6,73,28.5,FALSE,FALSE,Regular,Gen 5,TRUE
571,Zoroark,Dark,NA,510,60,105,60,120,60,105,1.6,81.1,31.7,FALSE,FALSE,Regular,Gen 5,FALSE
573,Cinccino,Normal,NA,470,75,95,60,65,60,115,0.5,7.5,30,FALSE,FALSE,Regular,Gen 5,FALSE
576,Gothitelle,Psychic,NA,490,70,55,95,95,110,65,1.5,44,19.6,FALSE,FALSE,Regular,Gen 5,FALSE
579,Reuniclus,Psychic,NA,490,110,65,75,125,85,30,1,20.1,20.1,FALSE,FALSE,Regular,Gen 5,FALSE
581,Swanna,Water,Flying,473,75,87,63,87,63,98,1.3,24.2,14.3,FALSE,FALSE,Regular,Gen 5,TRUE
584,Vanilluxe,Ice,NA,535,71,95,85,110,95,79,1.3,57.5,34,FALSE,FALSE,Regular,Gen 5,FALSE
586,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,1.9,92.5,25.6,FALSE,FALSE,Regular,Gen 5,TRUE
587,Emolga,Electric,Flying,428,55,75,60,75,60,103,0.4,5,31.3,FALSE,FALSE,Regular,Gen 5,TRUE
589,Escavalier,Bug,Steel,495,70,135,105,60,105,20,1,33,33,FALSE,FALSE,Regular,Gen 5,TRUE
591,Amoonguss,Grass,Poison,464,114,85,70,85,80,30,0.6,10.5,29.2,FALSE,FALSE,Regular,Gen 5,TRUE
593,Jellicent,Water,Ghost,480,100,60,70,85,105,60,2.2,135,27.9,FALSE,FALSE,Regular,Gen 5,TRUE
594,Alomomola,Water,NA,470,165,75,80,40,45,65,1.2,31.6,21.9,FALSE,FALSE,Regular,Gen 5,FALSE
596,Galvantula,Bug,Electric,472,70,77,60,97,60,108,0.8,14.3,22.3,FALSE,FALSE,Regular,Gen 5,TRUE
598,Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,1,110,110,FALSE,FALSE,Regular,Gen 5,TRUE
601,Klinklang,Steel,NA,520,60,100,115,70,85,90,0.6,81,225,FALSE,FALSE,Regular,Gen 5,FALSE
604,Eelektross,Electric,NA,515,85,115,80,105,80,50,2.1,80.5,18.3,FALSE,FALSE,Regular,Gen 5,FALSE
