dex,name,category,cluster
763,Tsareena,Regular,1
764,Comfey,Regular,1
765,Oranguru,Regular,1
766,Passimian,Regular,1
767,Wimpod,Regular,3
768,Golisopod,Regular,1
769,Sandygast,Regular,2
770,Palossand,Regular,2
771,Pyukumuku,Regular,1
772,Type: Null,Legendary,1
773,Silvally,Legendary,1
774,MiniorCore Form,Regular,1
774,MiniorMeteor Form,Regular,2
775,Komala,Regular,2
776,Turtonator,Regular,1
777,Togedemaru,Regular,1
778,Mimikyu,Regular,1
779,Bruxish,Regular,1
780,Drampa,Regular,1
781,Dhelmise,Regular,4
782,Jangmo-o,Regular,3
783,Hakamo-o,Regular,1
784,Kommo-o,Regular,1
785,Tapu Koko,Legendary,1
786,Tapu Lele,Legendary,1
787,Tapu Bulu,Legendary,1
788,Tapu Fini,Legendary,1
789,Cosmog,Legendary,3
791,Solgaleo,Legendary,4
792,Lunala,Legendary,4
793,Nihilego,Ultra Beast,1
794,Buzzwole,Ultra Beast,4
795,Pheromosa,Ultra Beast,1
796,Xurkitree,Ultra Beast,1
797,Celesteela,Ultra Beast,4
798,Kartana,Ultra Beast,1
800,NecrozmaUltra Necrozma,Legendary,4
800,NecrozmaDawn Wings Necrozma,Legendary,4
800,NecrozmaDusk Mane Necrozma,Legendary,4
800,Necrozma,Legendary,4
801,Magearna,Mythical,1
802,Marshadow,Mythical,1
803,Poipole,Ultra Beast,1
804,Naganadel,Ultra Beast,1
806,Blacephalon,Ultra Beast,1
807,Zeraora,Mythical,1
808,Meltan,Mythical,2
809,Melmetal,Mythical,4
810,Grookey,Regular,3
811,Thwackey,Regular,1
812,Rillaboom,Regular,1
813,Scorbunny,Regular,3
814,Raboot,Regular,1
815,Cinderace,Regular,1
816,Sobble,Regular,3
817,Drizzile,Regular,1
818,Inteleon,Regular,1
819,Skwovet,Regular,3
820,Greedent,Regular,1
821,Rookidee,Regular,3
822,Corvisquire,Regular,3
823,Corviknight,Regular,1
824,Blipbug,Regular,3
825,Dottler,Regular,2
826,Orbeetle,Regular,2
827,Nickit,Regular,3
828,Thievul,Regular,1
829,Gossifleur,Regular,3
830,Eldegoss,Regular,1
831,Wooloo,Regular,3
832,Dubwool,Regular,1
833,Chewtle,Regular,3
834,Drednaw,Regular,2
835,Yamper,Regular,3
836,Boltund,Regular,1
837,Rolycoly,Regular,3
838,Carkol,Regular,1
839,Coalossal,Regular,4
840,Applin,Regular,3
841,Flapple,Regular,1
842,Appletun,Regular,1
843,Silicobra,Regular,3
844,Sandaconda,Regular,1
845,Cramorant,Regular,1
846,Arrokuda,Regular,3
847,Barraskewda,Regular,1
848,Toxel,Regular,3
849,ToxtricityAmped Form,Regular,1
849,ToxtricityLow Key Form,Regular,1
850,Sizzlipede,Regular,3
851,Centiskorch,Regular,1
852,Clobbopus,Regular,3
853,Grapploct,Regular,1
854,Sinistea,Regular,3
855,Polteageist,Regular,1
856,Hatenna,Regular,3
857,Hattrem,Regular,3
858,Hatterene,Regular,1
859,Impidimp,Regular,3
860,Morgrem,Regular,3
861,Grimmsnarl,Regular,1
862,Obstagoon,Regular,1
863,Perrserker,Regular,1
864,Cursola,Regular,1
865,Sirfetch'd,Regular,2
866,Mr. Rime,Regular,1
867,Runerigus,Regular,1
868,Milcery,Regular,3
869,Alcremie,Regular,1
870,Falinks,Regular,1
871,Pincurchin,Regular,1
872,Snom,Regular,3
873,Frosmoth,Regular,1
874,Stonjourner,Regular,4
875,EiscueIce Face,Regular,1
875,EiscueNoice Face,Regular,1
876,IndeedeeMale,Regular,1
876,IndeedeeFemale,Regular,1
877,MorpekoFull Belly Mode,Regular,1
877,MorpekoHangry Mode,Regular,1
878,Cufant,Regular,3
879,Copperajah,Regular,4
880,Dracozolt,Regular,1
881,Arctozolt,Regular,1
882,Dracovish,Regular,1
883,Arctovish,Regular,1
884,Duraludon,Regular,1
885,Dreepy,Regular,3
886,Drakloak,Regular,1
887,Dragapult,Regular,1
888,ZacianHero of Many Battles,Legendary,1
888,ZacianCrowned Sword,Legendary,4
889,ZamazentaHero of Many Battles,Legendary,4
889,ZamazentaCrowned Shield,Legendary,4
891,Kubfu,Legendary,3
892,UrshifuSingle Strike Style,Legendary,1
892,UrshifuRapid Strike Style,Legendary,1
893,Zarude,Mythical,1
894,Regieleki,Legendary,1
895,Regidrago,Legendary,4
896,Glastrier,Legendary,4
897,Spectrier,Legendary,1
898,Calyrex,Legendary,1
898,CalyrexShadow Rider,Legendary,1
898,CalyrexIce Rider,Legendary,4
899,Wyrdeer,Regular,1
900,Kleavor,Regular,1
901,UrsalunaBloodmoon,Regular,4
901,Ursaluna,Regular,4
902,BasculegionMale,Regular,1
902,BasculegionFemale,Regular,1
903,Sneasler,Regular,1
904,Overqwil,Regular,1
905,EnamorusIncarnate Forme,Legendary,1
905,EnamorusTherian Forme,Legendary,1
906,Sprigatito,Regular,3
907,Floragato,Regular,1
908,Meowscarada,Regular,1
909,Fuecoco,Regular,3
910,Crocalor,Regular,1
911,Skeledirge,Regular,2
912,Quaxly,Regular,3
913,Quaxwell,Regular,1
914,Quaquaval,Regular,1
915,Lechonk,Regular,3
916,OinkologneMale,Regular,2
916,OinkologneFemale,Regular,2
917,Tarountula,Regular,3
918,Spidops,Regular,1
919,Nymble,Regular,3
920,Lokix,Regular,1
921,Pawmi,Regular,3
922,Pawmo,Regular,3
923,Pawmot,Regular,1
924,Tandemaus,Regular,3
925,MausholdFamily of Three,Regular,1
925,MausholdFamily of Four,Regular,1
926,Fidough,Regular,3
927,Dachsbun,Regular,1
928,Smoliv,Regular,3
929,Dolliv,Regular,3
930,Arboliva,Regular,1
931,SquawkabillyGreen Plumage,Regular,1
931,SquawkabillyBlue Plumage,Regular,1
931,SquawkabillyYellow Plumage,Regular,1
931,SquawkabillyWhite Plumage,Regular,1
932,Nacli,Regular,3
933,Naclstack,Regular,2
934,Garganacl,Regular,4
935,Charcadet,Regular,3
936,Armarouge,Regular,1
937,Ceruledge,Regular,1
938,Tadbulb,Regular,3
939,Bellibolt,Regular,1
940,Wattrel,Regular,3
941,Kilowattrel,Regular,1
942,Maschiff,Regular,3
943,Mabosstiff,Regular,1
944,Shroodle,Regular,3
945,Grafaiai,Regular,1
946,Bramblin,Regular,3
947,Brambleghast,Regular,1
948,Toedscool,Regular,3
949,Toedscruel,Regular,1
950,Klawf,Regular,1
951,Capsakid,Regular,3
952,Scovillain,Regular,1
953,Rellor,Regular,3
954,Rabsca,Regular,1
955,Flittle,Regular,3
956,Espathra,Regular,1
957,Tinkatink,Regular,3
958,Tinkatuff,Regular,3
959,Tinkaton,Regular,2
960,Wiglett,Regular,3
961,Wugtrio,Regular,1
962,Bombirdier,Regular,1
963,Finizen,Regular,3
964,PalafinHero Form,Regular,1
964,PalafinZero Form,Regular,1
965,Varoom,Regular,3
966,Revavroom,Regular,1
967,Cyclizar,Regular,1
968,Orthworm,Regular,4
969,Glimmet,Regular,3
970,Glimmora,Regular,1
971,Greavard,Regular,3
972,Houndstone,Regular,1
973,Flamigo,Regular,1
974,Cetoddle,Regular,3
975,Cetitan,Regular,4
976,Veluza,Regular,1
977,Dondozo,Regular,4
978,TatsugiriCurly Form,Regular,1
978,TatsugiriDroopy Form,Regular,1
978,TatsugiriStretchy Form,Regular,1
979,Annihilape,Regular,1
980,Clodsire,Regular,1
981,Farigiraf,Regular,1
982,DudunsparceThree-Segment Form,Regular,1
982,DudunsparceTwo-Segment Form,Regular,1
983,Kingambit,Regular,1
984,Great Tusk,Paradox,4
985,Scream Tail,Paradox,1
986,Brute Bonnet,Paradox,1
987,Flutter Mane,Paradox,1
988,Slither Wing,Paradox,1
989,Sandy Shocks,Paradox,1
990,Iron Treads,Paradox,2
991,Iron Bundle,Paradox,1
992,Iron Hands,Paradox,4
993,Iron Jugulis,Paradox,1
994,Iron Moth,Paradox,1
995,Iron Thorns,Paradox,4
996,Frigibax,Regular,3
997,Arctibax,Regular,1
998,Baxcalibur,Regular,4
999,GimmighoulRoaming Form,Regular,3
999,GimmighoulChest Form,Regular,3
1000,Gholdengo,Regular,1
1001,Wo-Chien,Legendary,1
1002,Chien-Pao,Legendary,1
1003,Ting-Lu,Legendary,4
1004,Chi-Yu,Legendary,1
1005,Roaring Moon,Paradox,4
1006,Iron Valiant,Paradox,1
1007,Koraidon,Legendary,4
1008,Miraidon,Legendary,4
1009,Walking Wake,Paradox,4
1010,Iron Leaves,Paradox,1
1011,Dipplin,Regular,1
1012,Poltchageist,Regular,3
1013,Sinistcha,Regular,1
1014,Okidogi,Legendary,1
1015,Munkidori,Legendary,1
1016,Fezandipiti,Legendary,1
1017,OgerponTeal Mask,Legendary,1
1017,OgerponWellspring Mask,Legendary,1
1017,OgerponHearthflame Mask,Legendary,1
1017,OgerponCornerstone Mask,Legendary,1
1018,Archaludon,Regular,1
1019,Hydrapple,Regular,1
1020,Gouging Fire,Paradox,4
1021,Raging Bolt,Paradox,4
1022,Iron Boulder,Paradox,1
1023,Iron Crown,Paradox,1
1024,TerapagosStellar Form,Legendary,1
1024,TerapagosNormal Form,Legendary,2
1024,TerapagosTerastal Form,Legendary,2
1025,Pecharunt,Mythical,1
