dex,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,height_m,weight_kgs,bmi,is_legendary,is_special,category,generation
173,Cleffa,Fairy,NA,218,50,25,28,45,55,15,0.3,3,33.3,FALSE,FALSE,Regular,Gen 2
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,0.3,1,11.1,FALSE,FALSE,Regular,Gen 2
175,Togepi,Fairy,NA,245,35,20,65,40,65,20,0.3,1.5,16.7,FALSE,FALSE,Regular,Gen 2
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,0.6,3.2,8.9,FALSE,FALSE,Regular,Gen 2
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,0.2,2,50,FALSE,FALSE,Regular,Gen 2
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,1.5,15,6.7,FALSE,FALSE,Regular,Gen 2
179,Mareep,Electric,NA,280,55,40,40,65,45,35,0.6,7.8,21.7,FALSE,FALSE,Regular,Gen 2
180,Flaaffy,Electric,NA,365,70,55,55,80,60,45,0.8,13.3,20.8,FALSE,FALSE,Regular,Gen 2
181,Ampharos,Electric,NA,510,90,75,85,115,90,55,1.4,61.5,31.4,FALSE,FALSE,Regular,Gen 2
181,Mega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,1.4,61.5,31.4,FALSE,FALSE,Regular,Gen 2
182,Bellossom,Grass,NA,490,75,80,95,90,100,50,0.4,5.8,36.3,FALSE,FALSE,Regular,Gen 2
183,Marill,Water,Fairy,250,70,20,50,20,50,40,0.4,8.5,53.1,FALSE,FALSE,Regular,Gen 2
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,0.8,28.5,44.5,FALSE,FALSE,Regular,Gen 2
185,Sudowoodo,Rock,NA,410,70,100,115,30,65,30,1.2,38,26.4,FALSE,FALSE,Regular,Gen 2
186,Politoed,Water,NA,500,90,75,75,90,100,70,1.1,33.9,28,FALSE,FALSE,Regular,Gen 2
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,0.4,0.5,3.1,FALSE,FALSE,Regular,Gen 2
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,0.6,1,2.8,FALSE,FALSE,Regular,Gen 2
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,0.8,3,4.7,FALSE,FALSE,Regular,Gen 2
190,Aipom,Normal,NA,360,55,70,55,40,55,85,0.8,11.5,18,FALSE,FALSE,Regular,Gen 2
191,Sunkern,Grass,NA,180,30,30,30,30,30,30,0.3,1.8,20,FALSE,FALSE,Regular,Gen 2
192,Sunflora,Grass,NA,425,75,75,55,105,85,30,0.8,8.5,13.3,FALSE,FALSE,Regular,Gen 2
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,1.2,38,26.4,FALSE,FALSE,Regular,Gen 2
194,Wooper,Water,Ground,210,55,45,45,25,25,15,0.4,8.5,53.1,FALSE,FALSE,Regular,Gen 2
194,Paldean Wooper,Poison,Ground,210,55,45,45,25,25,15,0.4,11,68.8,FALSE,FALSE,Regular,Gen 2
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,1.4,75,38.3,FALSE,FALSE,Regular,Gen 2
196,Espeon,Psychic,NA,525,65,65,60,130,95,110,0.9,26.5,32.7,FALSE,FALSE,Regular,Gen 2
197,Umbreon,Dark,NA,525,95,65,110,60,130,65,1,27,27,FALSE,FALSE,Regular,Gen 2
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,0.5,2.1,8.4,FALSE,FALSE,Regular,Gen 2
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,79.5,19.9,FALSE,FALSE,Regular,Gen 2
199,Galarian Slowking,Poison,Psychic,490,95,65,80,110,110,30,1.8,79.5,24.5,FALSE,FALSE,Regular,Gen 2
200,Misdreavus,Ghost,NA,435,60,60,60,85,85,85,0.7,1,2,FALSE,FALSE,Regular,Gen 2
201,Unown,Psychic,NA,336,48,72,48,72,48,48,0.5,5,20,FALSE,FALSE,Regular,Gen 2
202,Wobbuffet,Psychic,NA,405,190,33,58,33,58,33,1.3,28.5,16.9,FALSE,FALSE,Regular,Gen 2
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,1.5,41.5,18.4,FALSE,FALSE,Regular,Gen 2
204,Pineco,Bug,NA,290,50,65,90,35,35,15,0.6,7.2,20,FALSE,FALSE,Regular,Gen 2
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,1.2,125.8,87.4,FALSE,FALSE,Regular,Gen 2
206,Dunsparce,Normal,NA,415,100,70,70,65,65,45,1.5,14,6.2,FALSE,FALSE,Regular,Gen 2
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,1.1,64.8,53.6,FALSE,FALSE,Regular,Gen 2
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,9.2,400,4.7,FALSE,FALSE,Regular,Gen 2
208,Mega Steelix,Steel,Ground,610,75,125,230,55,95,30,10.5,740,6.7,FALSE,FALSE,Regular,Gen 2
209,Snubbull,Fairy,NA,300,60,80,50,40,40,30,0.6,7.8,21.7,FALSE,FALSE,Regular,Gen 2
210,Granbull,Fairy,NA,450,90,120,75,60,60,45,1.4,48.7,24.8,FALSE,FALSE,Regular,Gen 2
211,Qwilfish,Water,Poison,440,65,95,85,55,55,85,0.5,3.9,15.6,FALSE,FALSE,Regular,Gen 2
211,Hisuian Qwilfish,Dark,Poison,440,65,95,85,55,55,85,0.5,3.9,15.6,FALSE,FALSE,Regular,Gen 2
212,Mega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,125,31.3,FALSE,FALSE,Regular,Gen 2
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,1.8,118,36.4,FALSE,FALSE,Regular,Gen 2
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,0.6,20.5,56.9,FALSE,FALSE,Regular,Gen 2
214,Mega Heracross,Bug,Fighting,600,80,185,115,40,105,75,1.7,62.5,21.6,FALSE,FALSE,Regular,Gen 2
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,1.5,54,24,FALSE,FALSE,Regular,Gen 2
215,Hisuian Sneasel,Fighting,Poison,430,55,95,55,35,75,115,0.9,27,33.3,FALSE,FALSE,Regular,Gen 2
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,0.9,28,34.6,FALSE,FALSE,Regular,Gen 2
216,Teddiursa,Normal,NA,330,60,80,50,50,50,40,0.6,8.8,24.4,FALSE,FALSE,Regular,Gen 2
217,Ursaring,Normal,NA,500,90,130,75,75,75,55,1.8,125.8,38.8,FALSE,FALSE,Regular,Gen 2
218,Slugma,Fire,NA,250,40,40,40,70,40,20,0.7,35,71.4,FALSE,FALSE,Regular,Gen 2
219,Magcargo,Fire,Rock,430,60,50,120,90,80,30,0.8,55,85.9,FALSE,FALSE,Regular,Gen 2
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,0.4,6.5,40.6,FALSE,FALSE,Regular,Gen 2
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,1.1,55.8,46.1,FALSE,FALSE,Regular,Gen 2
222,Galarian Corsola,Ghost,NA,410,60,55,100,65,100,30,0.6,0.5,1.4,FALSE,FALSE,Regular,Gen 2
222,Corsola,Water,Rock,410,65,55,95,65,95,35,0.6,5,13.9,FALSE,FALSE,Regular,Gen 2
223,Remoraid,Water,NA,300,35,65,35,65,35,65,0.6,12,33.3,FALSE,FALSE,Regular,Gen 2
224,Octillery,Water,NA,480,75,105,75,105,75,45,0.9,28.5,35.2,FALSE,FALSE,Regular,Gen 2
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,0.9,16,19.8,FALSE,FALSE,Regular,Gen 2
226,Mantine,Water,Flying,485,85,40,70,80,140,70,2.1,220,49.9,FALSE,FALSE,Regular,Gen 2
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,1.7,50.5,17.5,FALSE,FALSE,Regular,Gen 2
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,0.6,10.8,30,FALSE,FALSE,Regular,Gen 2
229,Mega Houndoom,Dark,Fire,600,75,90,90,140,90,115,1.9,49.5,13.7,FALSE,FALSE,Regular,Gen 2
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,1.4,35,17.9,FALSE,FALSE,Regular,Gen 2
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,1.8,152,46.9,FALSE,FALSE,Regular,Gen 2
231,Phanpy,Ground,NA,330,90,60,60,40,40,40,0.5,33.5,134,FALSE,FALSE,Regular,Gen 2
232,Donphan,Ground,NA,500,90,120,120,60,60,50,1.1,120,99.2,FALSE,FALSE,Regular,Gen 2
233,Porygon2,Normal,NA,515,85,80,90,105,95,60,0.6,32.5,90.3,FALSE,FALSE,Regular,Gen 2
234,Stantler,Normal,NA,465,73,95,62,85,65,85,1.4,71.2,36.3,FALSE,FALSE,Regular,Gen 2
235,Smeargle,Normal,NA,250,55,20,35,20,45,75,1.2,58,40.3,FALSE,FALSE,Regular,Gen 2
236,Tyrogue,Fighting,NA,210,35,35,35,35,35,35,0.7,21,42.9,FALSE,FALSE,Regular,Gen 2
237,Hitmontop,Fighting,NA,455,50,95,95,35,110,70,1.4,48,24.5,FALSE,FALSE,Regular,Gen 2
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,0.4,6,37.5,FALSE,FALSE,Regular,Gen 2
239,Elekid,Electric,NA,360,45,63,37,65,55,95,0.6,23.5,65.3,FALSE,FALSE,Regular,Gen 2
240,Magby,Fire,NA,365,45,75,37,70,55,83,0.7,21.4,43.7,FALSE,FALSE,Regular,Gen 2
241,Miltank,Normal,NA,490,95,80,105,40,70,100,1.2,75.5,52.4,FALSE,FALSE,Regular,Gen 2
242,Blissey,Normal,NA,540,255,10,10,75,135,55,1.5,46.8,20.8,FALSE,FALSE,Regular,Gen 2
243,Raikou,Electric,NA,580,90,85,75,115,100,115,1.9,178,49.3,TRUE,TRUE,Legendary,Gen 2
244,Entei,Fire,NA,580,115,115,85,90,75,100,2.1,198,44.9,TRUE,TRUE,Legendary,Gen 2
245,Suicune,Water,NA,580,100,75,115,90,115,85,2,187,46.8,TRUE,TRUE,Legendary,Gen 2
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,0.6,72,200,FALSE,FALSE,Regular,Gen 2
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,1.2,152,105.6,FALSE,FALSE,Regular,Gen 2
248,Mega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2.5,255,40.8,FALSE,FALSE,Regular,Gen 2
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,202,50.5,FALSE,FALSE,Regular,Gen 2
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,5.2,216,8,TRUE,TRUE,Legendary,Gen 2
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,3.8,199,13.8,TRUE,TRUE,Legendary,Gen 2
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,0.6,5,13.9,FALSE,TRUE,Mythical,Gen 2
252,Treecko,Grass,NA,310,40,45,35,65,55,70,0.5,5,20,FALSE,FALSE,Regular,Gen 3
253,Grovyle,Grass,NA,405,50,65,45,85,65,95,0.9,21.6,26.7,FALSE,FALSE,Regular,Gen 3
254,Mega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,1.9,55.2,15.3,FALSE,FALSE,Regular,Gen 3
254,Sceptile,Grass,NA,530,70,85,65,105,85,120,1.7,52.2,18.1,FALSE,FALSE,Regular,Gen 3
255,Torchic,Fire,NA,310,45,60,40,70,50,45,0.4,2.5,15.6,FALSE,FALSE,Regular,Gen 3
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,0.9,19.5,24.1,FALSE,FALSE,Regular,Gen 3
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,1.9,52,14.4,FALSE,FALSE,Regular,Gen 3
257,Mega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,1.9,52,14.4,FALSE,FALSE,Regular,Gen 3
258,Mudkip,Water,NA,310,50,70,50,50,50,40,0.4,7.6,47.5,FALSE,FALSE,Regular,Gen 3
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,0.7,28,57.1,FALSE,FALSE,Regular,Gen 3
260,Mega Swampert,Water,Ground,635,100,150,110,95,110,70,1.9,102,28.3,FALSE,FALSE,Regular,Gen 3
260,Swampert,Water,Ground,535,100,110,90,85,90,60,1.5,81.9,36.4,FALSE,FALSE,Regular,Gen 3
261,Poochyena,Dark,NA,220,35,55,35,30,30,35,0.5,13.6,54.4,FALSE,FALSE,Regular,Gen 3
262,Mightyena,Dark,NA,420,70,90,70,60,60,70,1,37,37,FALSE,FALSE,Regular,Gen 3
263,Zigzagoon,Normal,NA,240,38,30,41,30,41,60,0.4,17.5,109.4,FALSE,FALSE,Regular,Gen 3
263,Galarian Zigzagoon,Dark,Normal,240,38,30,41,30,41,60,0.4,17.5,109.4,FALSE,FALSE,Regular,Gen 3
264,Linoone,Normal,NA,420,78,70,61,50,61,100,0.5,32.5,130,FALSE,FALSE,Regular,Gen 3
264,Galarian Linoone,Dark,Normal,420,78,70,61,50,61,100,0.5,32.5,130,FALSE,FALSE,Regular,Gen 3
265,Wurmple,Bug,NA,195,45,45,35,20,30,20,0.3,3.6,40,FALSE,FALSE,Regular,Gen 3
266,Silcoon,Bug,NA,205,50,35,55,25,25,15,0.6,10,27.8,FALSE,FALSE,Regular,Gen 3
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,1,28.4,28.4,FALSE,FALSE,Regular,Gen 3
268,Cascoon,Bug,NA,205,50,35,55,25,25,15,0.7,11.5,23.5,FALSE,FALSE,Regular,Gen 3
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,1.2,31.6,21.9,FALSE,FALSE,Regular,Gen 3
270,Lotad,Water,Grass,220,40,30,30,40,50,30,0.5,2.6,10.4,FALSE,FALSE,Regular,Gen 3
271,Lombre,Water,Grass,340,60,50,50,60,70,50,1.2,32.5,22.6,FALSE,FALSE,Regular,Gen 3
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,1.5,55,24.4,FALSE,FALSE,Regular,Gen 3
273,Seedot,Grass,NA,220,40,40,50,30,30,30,0.5,4,16,FALSE,FALSE,Regular,Gen 3
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,1,28,28,FALSE,FALSE,Regular,Gen 3
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,1.3,59.6,35.3,FALSE,FALSE,Regular,Gen 3
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,0.3,2.3,25.6,FALSE,FALSE,Regular,Gen 3
277,Swellow,Normal,Flying,455,60,85,60,75,50,125,0.7,19.8,40.4,FALSE,FALSE,Regular,Gen 3
278,Wingull,Water,Flying,270,40,30,30,55,30,85,0.6,9.5,26.4,FALSE,FALSE,Regular,Gen 3
279,Pelipper,Water,Flying,440,60,50,100,95,70,65,1.2,28,19.4,FALSE,FALSE,Regular,Gen 3
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,0.4,6.6,41.3,FALSE,FALSE,Regular,Gen 3
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,0.8,20.2,31.6,FALSE,FALSE,Regular,Gen 3
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,1.6,48.4,18.9,FALSE,FALSE,Regular,Gen 3
282,Mega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,1.6,48.4,18.9,FALSE,FALSE,Regular,Gen 3
283,Surskit,Bug,Water,269,40,30,32,50,52,65,0.5,1.7,6.8,FALSE,FALSE,Regular,Gen 3
284,Masquerain,Bug,Flying,454,70,60,62,100,82,80,0.8,3.6,5.6,FALSE,FALSE,Regular,Gen 3
285,Shroomish,Grass,NA,295,60,40,60,40,60,35,0.4,4.5,28.1,FALSE,FALSE,Regular,Gen 3
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,1.2,39.2,27.2,FALSE,FALSE,Regular,Gen 3
287,Slakoth,Normal,NA,280,60,60,60,35,35,30,0.8,24,37.5,FALSE,FALSE,Regular,Gen 3
288,Vigoroth,Normal,NA,440,80,80,80,55,55,90,1.4,46.5,23.7,FALSE,FALSE,Regular,Gen 3
289,Slaking,Normal,NA,670,150,160,100,95,65,100,2,130.5,32.6,FALSE,FALSE,Regular,Gen 3
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,0.5,5.5,22,FALSE,FALSE,Regular,Gen 3
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,0.8,12,18.8,FALSE,FALSE,Regular,Gen 3
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,0.8,1.2,1.9,FALSE,FALSE,Regular,Gen 3
293,Whismur,Normal,NA,240,64,51,23,51,23,28,0.6,16.3,45.3,FALSE,FALSE,Regular,Gen 3
294,Loudred,Normal,NA,360,84,71,43,71,43,48,1,40.5,40.5,FALSE,FALSE,Regular,Gen 3
295,Exploud,Normal,NA,490,104,91,63,91,73,68,1.5,84,37.3,FALSE,FALSE,Regular,Gen 3
296,Makuhita,Fighting,NA,237,72,60,30,20,30,25,1,86.4,86.4,FALSE,FALSE,Regular,Gen 3
297,Hariyama,Fighting,NA,474,144,120,60,40,60,50,2.3,253.8,48,FALSE,FALSE,Regular,Gen 3
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,0.2,2,50,FALSE,FALSE,Regular,Gen 3
299,Nosepass,Rock,NA,375,30,45,135,45,90,30,1,97,97,FALSE,FALSE,Regular,Gen 3
300,Skitty,Normal,NA,260,50,45,45,35,35,50,0.6,11,30.6,FALSE,FALSE,Regular,Gen 3
301,Delcatty,Normal,NA,400,70,65,65,55,55,90,1.1,32.6,26.9,FALSE,FALSE,Regular,Gen 3
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,0.5,11,44,FALSE,FALSE,Regular,Gen 3
302,Mega Sableye,Dark,Ghost,480,50,85,125,85,115,20,0.5,161,644,FALSE,FALSE,Regular,Gen 3
303,Mega Mawile,Steel,Fairy,480,50,105,125,55,95,50,1,23.5,23.5,FALSE,FALSE,Regular,Gen 3
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,0.6,11.5,31.9,FALSE,FALSE,Regular,Gen 3
304,Aron,Steel,Rock,330,50,70,100,40,40,30,0.4,60,375,FALSE,FALSE,Regular,Gen 3
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,0.9,120,148.1,FALSE,FALSE,Regular,Gen 3
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,2.1,360,81.6,FALSE,FALSE,Regular,Gen 3
306,Mega Aggron,Steel,NA,630,70,140,230,60,80,50,2.2,395,81.6,FALSE,FALSE,Regular,Gen 3
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,0.6,11.2,31.1,FALSE,FALSE,Regular,Gen 3
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,1.3,31.5,18.6,FALSE,FALSE,Regular,Gen 3
308,Mega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,1.3,31.5,18.6,FALSE,FALSE,Regular,Gen 3
309,Electrike,Electric,NA,295,40,45,40,65,40,65,0.6,15.2,42.2,FALSE,FALSE,Regular,Gen 3
310,Mega Manectric,Electric,NA,575,70,75,80,135,80,135,1.8,44,13.6,FALSE,FALSE,Regular,Gen 3
310,Manectric,Electric,NA,475,70,75,60,105,60,105,1.5,40.2,17.9,FALSE,FALSE,Regular,Gen 3
311,Plusle,Electric,NA,405,60,50,40,85,75,95,0.4,4.2,26.3,FALSE,FALSE,Regular,Gen 3
312,Minun,Electric,NA,405,60,40,50,75,85,95,0.4,4.2,26.3,FALSE,FALSE,Regular,Gen 3
313,Volbeat,Bug,NA,430,65,73,75,47,85,85,0.7,17.7,36.1,FALSE,FALSE,Regular,Gen 3
314,Illumise,Bug,NA,430,65,47,75,73,85,85,0.6,17.7,49.2,FALSE,FALSE,Regular,Gen 3
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,0.3,2,22.2,FALSE,FALSE,Regular,Gen 3
316,Gulpin,Poison,NA,302,70,43,53,43,53,40,0.4,10.3,64.4,FALSE,FALSE,Regular,Gen 3
317,Swalot,Poison,NA,467,100,73,83,73,83,55,1.7,80,27.7,FALSE,FALSE,Regular,Gen 3
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,0.8,20.8,32.5,FALSE,FALSE,Regular,Gen 3
319,Mega Sharpedo,Water,Dark,560,70,140,70,110,65,105,2.5,130.3,20.8,FALSE,FALSE,Regular,Gen 3
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,1.8,88.8,27.4,FALSE,FALSE,Regular,Gen 3
320,Wailmer,Water,NA,400,130,70,35,70,35,60,2,130,32.5,FALSE,FALSE,Regular,Gen 3
321,Wailord,Water,NA,500,170,90,45,90,45,60,14.5,398,1.9,FALSE,FALSE,Regular,Gen 3
322,Numel,Fire,Ground,305,60,60,40,65,45,35,0.7,24,49,FALSE,FALSE,Regular,Gen 3
323,Mega Camerupt,Fire,Ground,560,70,120,100,145,105,20,2.5,320.5,51.3,FALSE,FALSE,Regular,Gen 3
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,1.9,220,60.9,FALSE,FALSE,Regular,Gen 3
324,Torkoal,Fire,NA,470,70,85,140,85,70,20,0.5,80.4,321.6,FALSE,FALSE,Regular,Gen 3
325,Spoink,Psychic,NA,330,60,25,35,70,80,60,0.7,30.6,62.4,FALSE,FALSE,Regular,Gen 3
326,Grumpig,Psychic,NA,470,80,45,65,90,110,80,0.9,71.5,88.3,FALSE,FALSE,Regular,Gen 3
327,Spinda,Normal,NA,360,60,60,60,60,60,60,1.1,5,4.1,FALSE,FALSE,Regular,Gen 3
328,Trapinch,Ground,NA,290,45,100,45,45,45,10,0.7,15,30.6,FALSE,FALSE,Regular,Gen 3
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,1.1,15.3,12.6,FALSE,FALSE,Regular,Gen 3
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,2,82,20.5,FALSE,FALSE,Regular,Gen 3
331,Cacnea,Grass,NA,335,50,85,40,85,40,35,0.4,51.3,320.6,FALSE,FALSE,Regular,Gen 3
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,1.3,77.4,45.8,FALSE,FALSE,Regular,Gen 3
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,0.4,1.2,7.5,FALSE,FALSE,Regular,Gen 3
334,Mega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,1.5,20.6,9.2,FALSE,FALSE,Regular,Gen 3
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,1.1,20.6,17,FALSE,FALSE,Regular,Gen 3
335,Zangoose,Normal,NA,458,73,115,60,60,60,90,1.3,40.3,23.8,FALSE,FALSE,Regular,Gen 3
336,Seviper,Poison,NA,458,73,100,60,100,60,65,2.7,52.5,7.2,FALSE,FALSE,Regular,Gen 3
337,Lunatone,Rock,Psychic,460,90,55,65,95,85,70,1,168,168,FALSE,FALSE,Regular,Gen 3
338,Solrock,Rock,Psychic,460,90,95,85,55,65,70,1.2,154,106.9,FALSE,FALSE,Regular,Gen 3
339,Barboach,Water,Ground,288,50,48,43,46,41,60,0.4,1.9,11.9,FALSE,FALSE,Regular,Gen 3
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,0.9,23.6,29.1,FALSE,FALSE,Regular,Gen 3
341,Corphish,Water,NA,308,43,80,65,50,35,35,0.6,11.5,31.9,FALSE,FALSE,Regular,Gen 3
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,1.1,32.8,27.1,FALSE,FALSE,Regular,Gen 3
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,0.5,21.5,86,FALSE,FALSE,Regular,Gen 3
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,1.5,108,48,FALSE,FALSE,Regular,Gen 3
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,1,23.8,23.8,FALSE,FALSE,Regular,Gen 3
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,1.5,60.4,26.8,FALSE,FALSE,Regular,Gen 3
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,0.7,12.5,25.5,FALSE,FALSE,Regular,Gen 3
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,1.5,68.2,30.3,FALSE,FALSE,Regular,Gen 3
349,Feebas,Water,NA,200,20,15,20,10,55,80,0.6,7.4,20.6,FALSE,FALSE,Regular,Gen 3
350,Milotic,Water,NA,540,95,60,79,100,125,81,6.2,162,4.2,FALSE,FALSE,Regular,Gen 3
351,Castform,Normal,NA,420,70,70,70,70,70,70,0.3,0.8,8.9,FALSE,FALSE,Regular,Gen 3
351,Castform Sunny Form,Fire,NA,420,70,70,70,70,70,70,0.3,0.8,8.9,FALSE,FALSE,Regular,Gen 3
351,Castform Rainy Form,Water,NA,420,70,70,70,70,70,70,0.3,0.8,8.9,FALSE,FALSE,Regular,Gen 3
351,Castform Snowy Form,Ice,NA,420,70,70,70,70,70,70,0.3,0.8,8.9,FALSE,FALSE,Regular,Gen 3
352,Kecleon,Normal,NA,440,60,90,70,60,120,40,1,22,22,FALSE,FALSE,Regular,Gen 3
353,Shuppet,Ghost,NA,295,44,75,35,63,33,45,0.6,2.3,6.4,FALSE,FALSE,Regular,Gen 3
354,Mega Banette,Ghost,NA,555,64,165,75,93,83,75,1.2,13,9,FALSE,FALSE,Regular,Gen 3
354,Banette,Ghost,NA,455,64,115,65,83,63,65,1.1,12.5,10.3,FALSE,FALSE,Regular,Gen 3
355,Duskull,Ghost,NA,295,20,40,90,30,90,25,0.8,15,23.4,FALSE,FALSE,Regular,Gen 3
356,Dusclops,Ghost,NA,455,40,70,130,60,130,25,1.6,30.6,12,FALSE,FALSE,Regular,Gen 3
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,2,100,25,FALSE,FALSE,Regular,Gen 3
358,Chimecho,Psychic,NA,455,75,50,80,95,90,65,0.6,1,2.8,FALSE,FALSE,Regular,Gen 3
359,Absol,Dark,NA,465,65,130,60,75,60,75,1.2,47,32.6,FALSE,FALSE,Regular,Gen 3
359,Mega Absol,Dark,NA,565,65,150,60,115,60,115,1.2,49,34,FALSE,FALSE,Regular,Gen 3
360,Wynaut,Psychic,NA,260,95,23,48,23,48,23,0.6,14,38.9,FALSE,FALSE,Regular,Gen 3
361,Snorunt,Ice,NA,300,50,50,50,50,50,50,0.7,16.8,34.3,FALSE,FALSE,Regular,Gen 3
362,Mega Glalie,Ice,NA,580,80,120,80,120,80,100,2.1,350.2,79.4,FALSE,FALSE,Regular,Gen 3
362,Glalie,Ice,NA,480,80,80,80,80,80,80,1.5,256.5,114,FALSE,FALSE,Regular,Gen 3
363,Spheal,Ice,Water,290,70,40,50,55,50,25,0.8,39.5,61.7,FALSE,FALSE,Regular,Gen 3
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,1.1,87.6,72.4,FALSE,FALSE,Regular,Gen 3
365,Walrein,Ice,Water,530,110,80,90,95,90,65,1.4,150.6,76.8,FALSE,FALSE,Regular,Gen 3
366,Clamperl,Water,NA,345,35,64,85,74,55,32,0.4,52.5,328.1,FALSE,FALSE,Regular,Gen 3
367,Huntail,Water,NA,485,55,104,105,94,75,52,1.7,27,9.3,FALSE,FALSE,Regular,Gen 3
368,Gorebyss,Water,NA,485,55,84,105,114,75,52,1.8,22.6,7,FALSE,FALSE,Regular,Gen 3
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,1,23.4,23.4,FALSE,FALSE,Regular,Gen 3
370,Luvdisc,Water,NA,330,43,30,55,40,65,97,0.6,8.7,24.2,FALSE,FALSE,Regular,Gen 3
371,Bagon,Dragon,NA,300,45,75,60,40,30,50,0.6,42.1,116.9,FALSE,FALSE,Regular,Gen 3
